Employee Name,Manager Name,Email,Date of Hire,Store,Shift Start,Shift End,Station,Hourly Pay Rate
"Sean, Mr.","Compton, Jeffrey",mr..sean@abcfoodmart.com,2023-03-25,ABC Foodmart - Staten Island,2023-04-14 00:00,2023-04-14 00:00,seafood,12.60
"Foster, Jennifer","Hoffman, Tina",jennifer.foster@abcfoodmart.com,2023-06-15,ABC Foodmart - DUMBO,2023-07-08 00:00,2023-07-08 00:00,dry goods,17.43
"Shah, Amanda","Ellis, Grant",amanda.shah@abcfoodmart.com,2023-10-07,ABC Foodmart - DUMBO,2023-10-18 00:00,2023-10-18 00:00,cashier,16.21
"Garcia, Sarah","Cooper, Robert",sarah.garcia@abcfoodmart.com,2022-12-14,ABC Foodmart - Tribeca,2023-01-06 00:00,2023-01-06 00:00,cashier,15.74
"Riley, Ashley","Hoffman, Tina",ashley.riley@abcfoodmart.com,2022-08-17,ABC Foodmart - DUMBO,2022-08-27 00:00,2022-08-27 00:00,customer service,13.23
"Campbell, Brittany","Flores, Angela",brittany.campbell@abcfoodmart.com,2023-03-25,ABC Foodmart - Tribeca,2023-04-23 00:00,2023-04-23 00:00,fresh produce,12.82
"Burns, Kendra","Farrell, Christopher",kendra.burns@abcfoodmart.com,2022-12-13,ABC Foodmart - Tribeca,2022-12-26 00:00,2022-12-26 00:00,floral,13.21
"Ellis, Lauren","Cooper, Robert",lauren.ellis@abcfoodmart.com,2022-10-22,ABC Foodmart - Whitestone,2022-11-11 00:00,2022-11-11 00:00,deli,18.09
"Walters, Jay","Carter, Karen",jay.walters@abcfoodmart.com,2023-12-17,ABC Foodmart - Staten Island,2024-01-11 00:00,2024-01-11 00:00,cashier,12.85
"Hull, Shane","Cooper, Robert",shane.hull@abcfoodmart.com,2024-01-09,ABC Foodmart - Staten Island,2024-01-23 00:00,2024-01-23 00:00,bakery,16.96
"Wells, Monica","Hoffman, Tina",monica.wells@abcfoodmart.com,2024-03-12,ABC Foodmart - Bay Ridge,2024-03-26 00:00,2024-03-26 00:00,deli,14.08
"Campbell, Brittany","Flores, Angela",brittany.campbell@abcfoodmart.com,2023-03-25,ABC Foodmart - Tribeca,2023-05-04 00:00,2023-05-04 00:00,cashier,16.73
"Carroll, Eric","David, Mr.",eric.carroll@abcfoodmart.com,2022-12-26,ABC Foodmart - Bay Ridge,2023-01-02 00:00,2023-01-02 00:00,cashier,18.14
"White, Kenneth","Moran, John",kenneth.white@abcfoodmart.com,2023-01-22,ABC Foodmart - Staten Island,2023-02-13 00:00,2023-02-13 00:00,pharmacy,14.45
"Werner, Kara","Johnston, William",kara.werner@abcfoodmart.com,2023-10-12,ABC Foodmart - Staten Island,2023-10-18 00:00,2023-10-18 00:00,seafood,14.91
"Tate, Harry","Farrell, Christopher",harry.tate@abcfoodmart.com,2022-09-18,ABC Foodmart - Whitestone,2022-10-11 00:00,2022-10-11 00:00,frozen foods,15.77
"Sosa, David","Williams, Gina",david.sosa@abcfoodmart.com,2023-07-27,ABC Foodmart - Tribeca,2023-08-19 00:00,2023-08-19 00:00,dairy,15.68
"Chen, Kathleen","Flores, Angela",kathleen.chen@abcfoodmart.com,2024-02-03,ABC Foodmart - Tribeca,2024-02-09 00:00,2024-02-09 00:00,dairy,13.92
"Foster, Kenneth","Hoffman, Tina",kenneth.foster@abcfoodmart.com,2023-04-23,ABC Foodmart - Staten Island,2023-05-20 00:00,2023-05-20 00:00,bakery,18.49
"Manning, Maria","Waller, Chad",maria.manning@abcfoodmart.com,2022-11-16,ABC Foodmart - DUMBO,2022-11-23 00:00,2022-11-23 00:00,pharmacy,19.71
"Martin, Monica","Flores, Angela",monica.martin@abcfoodmart.com,2023-11-23,ABC Foodmart - DUMBO,2023-11-25 00:00,2023-11-25 00:00,meats,16.05
"Walters, Jay","Johnston, William",jay.walters@abcfoodmart.com,2023-12-17,ABC Foodmart - Tribeca,2024-02-05 00:00,2024-02-05 00:00,floral,14.40
"Walters, Jay","Williams, Gina",jay.walters@abcfoodmart.com,2023-12-17,ABC Foodmart - Tribeca,2024-02-11 00:00,2024-02-11 00:00,dry goods,12.56
"Hernandez, Michael","Compton, Jeffrey",michael.hernandez@abcfoodmart.com,2022-05-24,ABC Foodmart - Whitestone,2022-06-06 00:00,2022-06-06 00:00,floral,17.90
"Glover, Michelle","Cooper, Robert",michelle.glover@abcfoodmart.com,2022-08-25,ABC Foodmart - Bay Ridge,2022-09-16 00:00,2022-09-16 00:00,dry goods,15.88
"Colon, Lindsey","Ellis, Grant",lindsey.colon@abcfoodmart.com,2023-02-16,ABC Foodmart - Bay Ridge,2023-02-21 00:00,2023-02-21 00:00,cashier,18.15
"Randolph, Emily","David, Mr.",emily.randolph@abcfoodmart.com,2023-03-09,ABC Foodmart - Bay Ridge,2023-03-31 00:00,2023-03-31 00:00,deli,14.18
"Jones, Christopher","Williams, Gina",christopher.jones@abcfoodmart.com,2022-05-19,ABC Foodmart - Whitestone,2022-06-06 00:00,2022-06-06 00:00,floral,18.05
"Walters, Jay","Farrell, Christopher",jay.walters@abcfoodmart.com,2023-12-17,ABC Foodmart - Staten Island,2024-03-05 00:00,2024-03-05 00:00,dairy,18.91
"Harrell, Angie","Ellis, Grant",angie.harrell@abcfoodmart.com,2023-06-01,ABC Foodmart - Staten Island,2023-06-27 00:00,2023-06-27 00:00,frozen foods,13.21
"Chambers, Jeffrey","Farrell, Christopher",jeffrey.chambers@abcfoodmart.com,2022-09-29,ABC Foodmart - Tribeca,2022-10-04 00:00,2022-10-04 00:00,pharmacy,15.11
"Nichols, Mitchell","Compton, Jeffrey",mitchell.nichols@abcfoodmart.com,2022-09-30,ABC Foodmart - Staten Island,2022-10-04 00:00,2022-10-04 00:00,floral,14.45
"Campbell, Brittany","Cooper, Robert",brittany.campbell@abcfoodmart.com,2023-03-25,ABC Foodmart - DUMBO,2023-05-30 00:00,2023-05-30 00:00,bakery,12.79
"Jacobs, Brenda","Moran, John",brenda.jacobs@abcfoodmart.com,2024-02-09,ABC Foodmart - Tribeca,2024-02-29 00:00,2024-02-29 00:00,floral,17.49
"Mckenzie, William","Moran, John",william.mckenzie@abcfoodmart.com,2023-01-04,ABC Foodmart - Whitestone,2023-01-28 00:00,2023-01-28 00:00,pharmacy,16.84
"Jones, Evelyn","Johnston, William",evelyn.jones@abcfoodmart.com,2024-02-25,ABC Foodmart - Tribeca,2024-02-28 00:00,2024-02-28 00:00,frozen foods,17.47
"Martin, Monica","Hoffman, Tina",monica.martin@abcfoodmart.com,2023-11-23,ABC Foodmart - Staten Island,2023-11-26 00:00,2023-11-26 00:00,meats,18.30
"Riley, Ashley","Ellis, Grant",ashley.riley@abcfoodmart.com,2022-08-17,ABC Foodmart - Bay Ridge,2022-09-18 00:00,2022-09-18 00:00,dry goods,15.28
"Love, Thomas","Williams, Gina",thomas.love@abcfoodmart.com,2024-02-18,ABC Foodmart - DUMBO,2024-02-21 00:00,2024-02-21 00:00,cashier,17.86
"Smith, Diana","Johnston, William",diana.smith@abcfoodmart.com,2023-05-31,ABC Foodmart - Whitestone,2023-06-28 00:00,2023-06-28 00:00,deli,14.70
"Durham, Denise","David, Mr.",denise.durham@abcfoodmart.com,2022-10-24,ABC Foodmart - DUMBO,2022-11-07 00:00,2022-11-07 00:00,customer service,13.96
"Galvan, Lori","Carter, Karen",lori.galvan@abcfoodmart.com,2022-05-24,ABC Foodmart - Tribeca,2022-06-02 00:00,2022-06-02 00:00,meats,15.65
"Mckinney, Marcus","Hoffman, Tina",marcus.mckinney@abcfoodmart.com,2022-08-14,ABC Foodmart - DUMBO,2022-09-12 00:00,2022-09-12 00:00,seafood,18.85
"Church, Joshua","Hoffman, Tina",joshua.church@abcfoodmart.com,2024-03-03,ABC Foodmart - DUMBO,2024-03-20 00:00,2024-03-20 00:00,cashier,16.73
"Mckenzie, William","Compton, Jeffrey",william.mckenzie@abcfoodmart.com,2023-01-04,ABC Foodmart - DUMBO,2023-01-29 00:00,2023-01-29 00:00,meats,18.36
"Riley, Ashley","Williams, Gina",ashley.riley@abcfoodmart.com,2022-08-17,ABC Foodmart - DUMBO,2022-10-03 00:00,2022-10-03 00:00,seafood,13.61
"Woods, Marcus","Farrell, Christopher",marcus.woods@abcfoodmart.com,2024-04-01,ABC Foodmart - Bay Ridge,2024-04-04 00:00,2024-04-04 00:00,meats,13.91
"Kramer, Veronica","Carter, Karen",veronica.kramer@abcfoodmart.com,2023-03-28,ABC Foodmart - Whitestone,2023-03-31 00:00,2023-03-31 00:00,seafood,18.88
"Burns, Kendra","Cooper, Robert",kendra.burns@abcfoodmart.com,2022-12-13,ABC Foodmart - Tribeca,2023-01-03 00:00,2023-01-03 00:00,meats,19.47
"Terri, Mrs.","Moran, John",mrs..terri@abcfoodmart.com,2022-09-23,ABC Foodmart - Whitestone,2022-10-04 00:00,2022-10-04 00:00,fresh produce,13.87
"Eric, Mr.","Waller, Chad",mr..eric@abcfoodmart.com,2022-09-02,ABC Foodmart - Tribeca,2022-09-22 00:00,2022-09-22 00:00,deli,14.33
"Spears, Erin","Carter, Karen",erin.spears@abcfoodmart.com,2023-07-30,ABC Foodmart - Whitestone,2023-08-18 00:00,2023-08-18 00:00,deli,15.53
"Pena, Johnathan","Moran, John",johnathan.pena@abcfoodmart.com,2023-02-22,ABC Foodmart - Bay Ridge,2023-02-28 00:00,2023-02-28 00:00,pharmacy,15.08
"Chambers, Jeffrey","Carter, Karen",jeffrey.chambers@abcfoodmart.com,2022-09-29,ABC Foodmart - Whitestone,2022-10-13 00:00,2022-10-13 00:00,dry goods,18.92
"Davis, Jennifer","Flores, Angela",jennifer.davis@abcfoodmart.com,2023-11-03,ABC Foodmart - DUMBO,2023-11-26 00:00,2023-11-26 00:00,bakery,19.44
"Walters, Jay","Johnston, William",jay.walters@abcfoodmart.com,2023-12-17,ABC Foodmart - Whitestone,2024-04-03 00:00,2024-04-03 00:00,seafood,12.48
"Kramer, Veronica","Carter, Karen",veronica.kramer@abcfoodmart.com,2023-03-28,ABC Foodmart - Tribeca,2023-04-05 00:00,2023-04-05 00:00,meats,16.80
"Warren, Timothy","Hoffman, Tina",timothy.warren@abcfoodmart.com,2022-12-27,ABC Foodmart - Tribeca,2023-01-14 00:00,2023-01-14 00:00,cashier,19.21
"Gonzalez, Michele","Cooper, Robert",michele.gonzalez@abcfoodmart.com,2023-09-23,ABC Foodmart - Staten Island,2023-09-27 00:00,2023-09-27 00:00,dry goods,14.19
"Perry, Andrea","Ellis, Grant",andrea.perry@abcfoodmart.com,2023-05-05,ABC Foodmart - Bay Ridge,2023-05-24 00:00,2023-05-24 00:00,dry goods,19.39
"Marquez, Jeffrey","Carter, Karen",jeffrey.marquez@abcfoodmart.com,2023-02-19,ABC Foodmart - Tribeca,2023-03-03 00:00,2023-03-03 00:00,floral,14.00
"Nguyen, Richard","Carter, Karen",richard.nguyen@abcfoodmart.com,2022-09-27,ABC Foodmart - Tribeca,2022-10-05 00:00,2022-10-05 00:00,pharmacy,16.59
"Torres, Steven","Moran, John",steven.torres@abcfoodmart.com,2023-05-10,ABC Foodmart - Whitestone,2023-05-28 00:00,2023-05-28 00:00,seafood,13.55
"Hernandez, Michael","Hoffman, Tina",michael.hernandez@abcfoodmart.com,2022-05-24,ABC Foodmart - DUMBO,2022-06-29 00:00,2022-06-29 00:00,cashier,13.97
"Terri, Mrs.","David, Mr.",mrs..terri@abcfoodmart.com,2022-09-23,ABC Foodmart - Tribeca,2022-10-28 00:00,2022-10-28 00:00,pharmacy,18.47
"Walls, Kristen","Cooper, Robert",kristen.walls@abcfoodmart.com,2023-02-10,ABC Foodmart - Tribeca,2023-02-21 00:00,2023-02-21 00:00,bakery,19.84
"Jones, Evelyn","Waller, Chad",evelyn.jones@abcfoodmart.com,2024-02-25,ABC Foodmart - Whitestone,2024-03-02 00:00,2024-03-02 00:00,seafood,15.00
"Brown, Lisa","Johnston, William",lisa.brown@abcfoodmart.com,2022-08-18,ABC Foodmart - DUMBO,2022-08-27 00:00,2022-08-27 00:00,floral,16.87
"Hull, Shane","Waller, Chad",shane.hull@abcfoodmart.com,2024-01-09,ABC Foodmart - DUMBO,2024-01-28 00:00,2024-01-28 00:00,deli,13.56
"Nichols, Brandon","Compton, Jeffrey",brandon.nichols@abcfoodmart.com,2024-02-28,ABC Foodmart - Staten Island,2024-03-21 00:00,2024-03-21 00:00,cashier,15.24
